Player,Team,Position,ruATT,ruYDS,ruTDS,reREC,reYDS,reTDS,paATT,paCMP,paYDS,paTDS,INTS
Jake Ferguson,DAL,TE,0.0,0.0,0.0,67.9,629.6,3.9,0.0,0.0,0.0,0.0,0.0
Wan'Dale Robinson,NYG,WR,2.0,14.1,0.0,69.1,627.1,3.2,0.0,0.0,0.0,0.0,0.0
Evan Engram,DEN,TE,0.0,0.0,0.0,68.3,606.9,4.0,0.0,0.0,0.0,0.0,0.0
Quentin Johnston,LAC,WR,1.7,6.7,0.0,50.3,674.3,5.5,0.0,0.0,0.0,0.0,0.0
Dallas Goedert,PHI,TE,0.0,0.0,0.0,59.7,659.2,3.9,0.0,0.0,0.0,0.0,0.0
Najee Harris,LAC,RB,165.3,662.5,5.6,25.5,183.5,0.9,0.0,0.0,0.0,0.0,0.0
J.K. Dobbins,DEN,RB,156.8,679.5,5.2,27.0,170.6,1.0,0.0,0.0,0.0,0.0,0.0
Cam Skattebo,NYG,RB,159.2,637.0,4.3,29.8,233.0,1.1,0.0,0.0,0.0,0.0,0.0
Christian Kirk,HOU,WR,0.7,3.0,0.0,55.2,705.3,3.6,0.0,0.0,0.0,0.0,0.0
Xavier Legette,CAR,WR,6.2,28.8,0.1,55.9,632.9,4.1,0.0,0.0,0.0,0.0,0.0
Tucker Kraft,GB,TE,0.0,0.0,0.0,54.4,646.5,4.6,0.0,0.0,0.0,0.0,0.0
Rashod Bateman,BAL,WR,0.0,0.6,0.0,44.2,672.8,5.4,0.0,0.0,0.0,0.0,0.0
Rhamondre Stevenson,NE,RB,159.0,651.0,4.8,27.8,175.6,1.1,0.0,0.0,0.0,0.0,0.0
Zach Ertz,WAS,TE,0.0,0.0,0.0,58.2,540.4,5.0,0.0,0.0,0.0,0.0,0.0
Jack Bech,LV,WR,1.0,2.7,0.0,53.9,676.9,3.5,0.0,0.0,0.0,0.0,0.0
Rachaad White,TB,RB,110.9,437.6,2.6,39.8,299.9,2.2,0.0,0.0,0.0,0.0,0.0
Luther Burden III,CHI,WR,3.7,26.1,0.4,52.0,628.0,3.6,0.0,0.0,0.0,0.0,0.0
Cedric Tillman,CLE,WR,0.7,0.3,0.0,52.0,649.5,3.6,0.0,0.0,0.0,0.0,0.0
Dalton Kincaid,BUF,TE,0.0,0.0,0.0,55.7,588.2,3.6,0.0,0.0,0.0,0.0,0.0
Zach Charbonnet,SEA,RB,117.6,487.9,4.0,33.1,243.6,0.9,0.0,0.0,0.0,0.0,0.0
Hunter Henry,NE,TE,0.0,0.0,0.0,55.5,575.9,3.6,0.0,0.0,0.0,0.0,0.0
Tyjae Spears,TEN,RB,119.9,483.0,3.5,32.9,244.9,1.0,0.0,0.0,0.0,0.0,0.0
Mike Gesicki,CIN,TE,0.0,0.0,0.0,55.6,545.3,3.6,0.0,0.0,0.0,0.0,0.0
